"id"	"Intensity.12500amol_R1"	"Intensity.12500amol_R2"	"Intensity.12500amol_R3"	"Intensity.125amol_R1"	"Intensity.125amol_R2"	"Intensity.125amol_R3"	"Intensity.25000amol_R1"	"Intensity.25000amol_R2"	"Intensity.25000amol_R3"	"Intensity.2500amol_R1"	"Intensity.2500amol_R2"	"Intensity.2500amol_R3"	"Intensity.250amol_R1"	"Intensity.250amol_R2"	"Intensity.250amol_R3"	"Intensity.50000amol_R1"	"Intensity.50000amol_R2"	"Intensity.50000amol_R3"	"Intensity.5000amol_R1"	"Intensity.5000amol_R2"	"Intensity.5000amol_R3"	"Intensity.500amol_R1"	"Intensity.500amol_R2"	"Intensity.500amol_R3"	"Intensity.50amol_R1"	"Intensity.50amol_R2"	"Intensity.50amol_R3"
"P33416"	19078333.3333333	19810200	16180266.6666667	19711000	18104000	22775333.3333333	16450100	27642000	22081333.3333333	12229000	19347000	16789566.6666667	9446900	18471266.6666667	7658233.33333333	23914266.6666667	22948266.6666667	22414666.6666667	19390000	20286333.3333333	22504333.3333333	17273000	20968733.3333333	13265000	24455666.6666667	24732666.6666667	23107666.6666667
"P08417"	23130333.3333333	26143333.3333333	21766233.3333333	25609333.3333333	25387000	24359666.6666667	23153666.6666667	34322333.3333333	29990666.6666667	25105333.3333333	25424333.3333333	26649000	15455933.3333333	18429233.3333333	21847533.3333333	30197000	30811666.6666667	27479000	25610000	25538000	25747000	18511533.3333333	27612000	23516266.6666667	29008000	23570666.6666667	24026566.6666667
"P07213"	4046100	4560800	3992700	3429433.33333333	4906800	4655300	NA	NA	5433800	3336200	3673050	NA	2430233.33333333	3607200	3517800	3693300	3179700	5205900	3935933.33333333	2922500	3771750	4090000	4432600	4365150	3245100	NA	3048300
"P25451"	15074000	16530000	13189000	16474000	NA	NA	13469000	28448000	12087000	NA	15153000	NA	16466000	NA	NA	NA	15666000	14875000	NA	NA	NA	17571000	NA	NA	NA	NA	NA
"P25719"	10044866.6666667	9650933.33333333	10012000	17319000	14352500	9987750	9995000	10593050	15800000	13357000	8964700	10803300	11315000	10311400	9687400	11701833.3333333	12671933.3333333	11992500	7794500	10784000	9229833.33333333	10526633.3333333	8120200	10216500	11864566.6666667	13698100	16595500
"P47120"	4260400	3378350	3299700	3480300	3683300	3599300	3284700	NA	8023300	NA	3621200	4343000	3930500	NA	NA	5820000	4192200	4625100	3041900	4164000	3428400	4445300	3997300	NA	8792500	NA	NA
"P14742"	9060733.33333333	7484966.66666667	9263466.66666667	9301833.33333333	5565733.33333333	7361466.66666667	7296833.33333333	7846166.66666667	8576266.66666667	8237400	7118333.33333333	8444966.66666667	8759466.66666667	8787833.33333333	7323633.33333333	8291033.33333333	7787966.66666667	7144733.33333333	8148066.66666667	9274633.33333333	6402900	7645800	7354500	7420800	7966866.66666667	8194966.66666667	8786766.66666667
"P32563"	3989800	5610350	5007000	6845300	5423300	4830500	4887750	5578600	5929600	5809200	5698350	3793750	5614466.66666667	5407200	NA	5003800	5220850	4501650	5019000	4806566.66666667	4316400	5067000	3821500	5388400	NA	4826200	5254650
"P41921"	9925966.66666667	8723266.66666667	9772800	10952266.6666667	11578433.3333333	9211600	10658000	10949200	9678800	10166700	11654000	10299000	10149500	10006000	9830466.66666667	10374766.6666667	11803950	10678750	11155500	8917100	9756066.66666667	11106000	11248000	12218800	6290600	9993700	10526500
"P21965"	NA	4607800	5018400	6076250	7044700	NA	5515200	6658200	5774700	4782850	6330500	5861700	6859500	5212600	4456733.33333333	NA	7562600	5710133.33333333	5956550	NA	4758000	6341500	4665066.66666667	6567000	3086150	7059433.33333333	5703533.33333333
"P30624"	10169733.3333333	9898600	12411900	5866566.66666667	6676733.33333333	5247050	11671266.6666667	13448800	12362200	10618833.3333333	7121333.33333333	7219200	10072900	6119500	10372566.6666667	13260333.3333333	12252200	15484000	3520600	4710200	7339666.66666667	5863233.33333333	4466733.33333333	9420533.33333333	6266100	6491900	6704066.66666667
"P38115"	11843400	12019600	11227633.3333333	14932550	NA	6035900	11097566.6666667	23130666.6666667	10817800	13789066.6666667	16098866.6666667	7825200	20976000	6654800	19217500	21056000	16977666.6666667	15358666.6666667	6749500	16370900	13188100	22938000	8360700	7213900	10890966.6666667	16217033.3333333	21111666.6666667
"P53141"	17217200	14990700	18160000	19250266.6666667	21201466.6666667	11881000	22493333.3333333	17273666.6666667	11100966.6666667	11198700	9330433.33333333	6867200	16624566.6666667	17016466.6666667	21277333.3333333	21217000	16876333.3333333	11952300	13138266.6666667	15660666.6666667	12034900	14808000	11285533.3333333	9265500	12544300	12789833.3333333	12312066.6666667
"Q01574"	6468000	4787300	4774800	6143200	6467266.66666667	4306400	4835050	6535600	5820700	6626000	5854950	5551450	3886800	5063100	4545800	5162100	6000550	6176133.33333333	5152650	4813000	4886000	11724000	7623500	5667300	5115250	8534200	5771800
"Q03195"	4288600	16398500	3749300	3811000	5580633.33333333	3184200	3816150	6107000	6647300	4123750	15532133.3333333	4891800	3774750	3966100	3315200	5115950	4769600	3511300	3797250	4882600	3444650	4304350	3447450	4341250	7389966.66666667	6865033.33333333	4713266.66666667
"P41338"	31066333.3333333	19198333.3333333	25869000	29952000	25100000	28923000	18346000	35768333.3333333	31657666.6666667	27727333.3333333	28041333.3333333	28475333.3333333	29815333.3333333	29692333.3333333	25380333.3333333	28805000	36500666.6666667	26555000	27099000	26131333.3333333	24905666.6666667	25805000	23476666.6666667	23451000	28770333.3333333	25602666.6666667	27580666.6666667
"Q12460"	4604700	5473400	5620700	6626600	5661400	4917750	5805100	7475566.66666667	5890900	5199900	6391700	5288100	5760700	5597850	5862500	6585200	6365500	7146700	6623100	6336550	5543400	7689150	6346200	5768500	6145600	4775350	NA
"P10963"	36331000	36478333.3333333	41459666.6666667	46174000	38351000	38605666.6666667	36305333.3333333	37696333.3333333	34159666.6666667	36664666.6666667	28238666.6666667	19626333.3333333	42981666.6666667	41562000	42275666.6666667	36724666.6666667	35050666.6666667	35170000	25363333.3333333	25679666.6666667	28353000	37753666.6666667	35969666.6666667	38365666.6666667	47076000	45008666.6666667	41705666.6666667
"P05319"	36311666.6666667	35901666.6666667	38253333.3333333	33998666.6666667	30925133.3333333	31738000	47129000	61788000	41221666.6666667	69258000	41610500	43941500	27533200	33471333.3333333	29453333.3333333	42119500	41113000	58965000	61978766.6666667	43859000	40040000	39413000	42877000	27528233.3333333	39509000	41247500	39796500
"P04801"	12855333.3333333	10198433.3333333	11502333.3333333	10506400	9036850	10997666.6666667	10439333.3333333	14263000	19047666.6666667	10824133.3333333	10906166.6666667	10532100	10473633.3333333	8283433.33333333	11589333.3333333	14284333.3333333	11669733.3333333	12058000	9381200	10708166.6666667	10552166.6666667	12723000	12342333.3333333	12910666.6666667	8745000	9403500	8272200
"Q03940"	2503150	4022033.33333333	4656700	5915133.33333333	4566366.66666667	5575400	2586633.33333333	3247150	3947600	3147333.33333333	2713033.33333333	3096250	1767986.66666667	4606800	6468666.66666667	NA	4524500	NA	3765333.33333333	3018800	4266700	4384400	6237933.33333333	4782866.66666667	4392200	4071666.66666667	6269300
"Q06151"	9340566.66666667	9963700	8509866.66666667	10515366.6666667	8202050	9071800	7283333.33333333	10219400	9561233.33333333	8212200	8250000	9023700	9846466.66666667	7886900	9595133.33333333	11595333.3333333	9306100	8550366.66666667	9684833.33333333	9353466.66666667	8100300	10235333.3333333	9447233.33333333	7753366.66666667	9753666.66666667	9156566.66666667	10615166.6666667
"P10081"	85431666.6666667	86186333.3333333	82965666.6666667	86733666.6666667	91842000	89428333.3333333	80689666.6666667	94402333.3333333	89065000	82883666.6666667	80394000	83702333.3333333	70865000	84691666.6666667	92985333.3333333	99938333.3333333	87166666.6666667	93349333.3333333	85465000	81374333.3333333	82416333.3333333	93455666.6666667	105185666.666667	99496000	89159000	80087000	85667666.6666667
"P34223"	2264650	2093500	NA	3364700	3472400	3852100	1926800	2051700	2918200	3417900	3456200	2273266.66666667	NA	3663200	2864000	2496700	NA	NA	NA	1537700	NA	3232500	4099300	NA	4581500	3852150	4695000
"P0C0V8"	NA	6217800	NA	NA	NA	16045000	NA	8114800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26948000	NA	NA
"P28777"	7378700	7442700	7514133.33333333	10408633.3333333	6016850	10021000	7774300	9531500	8788150	NA	6284550	8962633.33333333	10861000	7286300	10773000	9223450	9144733.33333333	8913633.33333333	5627500	NA	6921650	10950000	10103000	10609000	9251766.66666667	7288166.66666667	10604200
"P40364"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5068900	NA	NA	NA	NA	NA	NA	NA	NA	NA	934020	NA
"P43616"	26208666.6666667	25048666.6666667	27811333.3333333	33679666.6666667	25072666.6666667	28696000	26120666.6666667	30846000	29038333.3333333	25336333.3333333	23005000	24861000	23870333.3333333	29247333.3333333	29231000	29541333.3333333	29793333.3333333	28780333.3333333	25789333.3333333	25413333.3333333	23326000	28499000	30534333.3333333	28920000	41594333.3333333	37673666.6666667	33505000
"P38968"	5051900	3890600	1435700	6372433.33333333	5440100	8854800	5805950	6833300	5866400	7801850	3516700	8673500	10037000	3709433.33333333	7147633.33333333	5769000	5285550	5230166.66666667	6988800	6295500	5465850	8503950	5559400	5690200	6001866.66666667	5033400	7264666.66666667
"P00950"	607220000	604166666.666667	655176666.666667	631896666.666667	545343333.333333	590360000	564103333.333333	561890000	549986666.666667	570643333.333333	599133333.333333	248966666.666667	609220000	408803333.333333	637846666.666667	569643333.333333	576020000	643266666.666667	420210000	515903333.333333	509633333.333333	637783333.333333	290273333.333333	248753333.333333	246563333.333333	258556666.666667	642276666.666667
"Q04062"	4691000	4008450	3777466.66666667	4084200	3814550	1887400	3932600	2684500	3647400	3627900	3266350	2744366.66666667	2171100	3320700	2567900	4128900	4799500	3890350	3791600	4797800	4156650	2550400	4257650	4438250	4347133.33333333	4719400	6766500
"P32074"	20019866.6666667	19976633.3333333	17115480	6351550	7407350	20645566.6666667	7715466.66666667	5305000	8341433.33333333	8078600	6808633.33333333	7139733.33333333	7148166.66666667	5680333.33333333	8194600	22804800	30699050	7991500	7248933.33333333	8357500	6982500	8462866.66666667	6966400	26547000	7625450	30355666.6666667	27194166.6666667
"P09232"	22655000	23866000	25323333.3333333	25407000	28309500	33180000	23407333.3333333	33190000	28864333.3333333	22303533.3333333	20175433.3333333	23871333.3333333	NA	21932666.6666667	10393033.3333333	29723666.6666667	28891666.6666667	26080666.6666667	26339333.3333333	24157000	24882333.3333333	38537000	26749333.3333333	22685100	26611333.3333333	26622000	25485000
"P39683"	3058400	NA	NA	NA	NA	NA	NA	6888200	NA	1286700	1000400	868910	1348600	NA	NA	NA	NA	NA	1011100	857260	1634915	NA	NA	NA	11848000	5380400	NA
"P16140"	40169333.3333333	41727666.6666667	38590333.3333333	46148000	42797666.6666667	40795000	37854666.6666667	44958000	43128333.3333333	39364666.6666667	38267333.3333333	38432333.3333333	42190333.3333333	39865666.6666667	43570333.3333333	48029333.3333333	44276666.6666667	43159666.6666667	29223000	40117000	36289000	51054666.6666667	34677666.6666667	35102333.3333333	17517000	44424000	43418666.6666667
"P36139"	14380133.3333333	13149366.6666667	15490233.3333333	14889933.3333333	16006300	16297733.3333333	14550000	16245866.6666667	16560000	13790200	14504866.6666667	14759500	8480133.33333333	14119333.3333333	15548166.6666667	18603000	16810333.3333333	17211666.6666667	14581166.6666667	15000100	14839966.6666667	10030266.6666667	16324866.6666667	14971100	16780300	15744166.6666667	15571733.3333333
"P00447"	33638333.3333333	33661333.3333333	35805000	31968333.3333333	29964500	32719333.3333333	33813666.6666667	34967000	33480333.3333333	33725000	27465333.3333333	20910650	40340000	34330500	44069666.6666667	36430666.6666667	37218666.6666667	36112000	20933000	28687500	29165000	46755000	28311000	25316400	73922000	49262333.3333333	37981500
"P09733"	7903600	7641333.33333333	8281250	12217300	11828000	9638000	8607450	8715100	6935633.33333333	7796400	9420100	8152033.33333333	8333966.66666667	9211500	8371533.33333333	8270133.33333333	7575966.66666667	8128700	7505166.66666667	7482300	8857233.33333333	10071400	8742450	9552666.66666667	8585800	10541466.6666667	10853566.6666667
"P21243"	5110600	5605900	4102500	6692633.33333333	6325566.66666667	5904833.33333333	5227666.66666667	6866766.66666667	6257933.33333333	6032766.66666667	4486400	4540066.66666667	4659033.33333333	5380200	3348500	4633933.33333333	5774466.66666667	3054966.66666667	4056400	5138950	5841466.66666667	3837300	6256400	4256333.33333333	4040200	2535200	2321000
"P01098"	2820700	2557500	2022640	5112200	5635100	NA	2624500	3536100	2284200	NA	2486300	3117100	NA	NA	3059300	5336500	5853500	7246000	NA	NA	2311700	NA	3256800	3326300	4487810	6571500	6519000
"P00045"	NA	NA	1298200	2270500	3050700	1722400	NA	NA	NA	NA	NA	NA	1862500	NA	1778800	NA	2069200	2723900	NA	NA	NA	2690600	552990	NA	NA	1198700	3243200
"P29453"	50917333.3333333	71409000	70411000	68550000	69766666.6666667	45273000	67450666.6666667	84767333.3333333	71291333.3333333	64018333.3333333	59075666.6666667	65847000	66089000	64837000	66636666.6666667	82333666.6666667	77448666.6666667	76435000	57141333.3333333	58977333.3333333	62821000	69961666.6666667	42061000	61824333.3333333	50758333.3333333	69123000	68962666.6666667
"P04840"	72428333.3333333	75019000	71411666.6666667	81973000	57366000	70154666.6666667	68133000	89780666.6666667	82214666.6666667	78708666.6666667	75966000	61383000	71165666.6666667	76797000	77092666.6666667	82447333.3333333	73666666.6666667	78773666.6666667	77940666.6666667	77326666.6666667	73213666.6666667	84350666.6666667	62438000	61822333.3333333	75720666.6666667	52481333.3333333	78704333.3333333
"P05743"	25183266.6666667	25004333.3333333	25507800	25148066.6666667	27401433.3333333	25172666.6666667	32348833.3333333	36074333.3333333	43134333.3333333	29500400	31758900	24930666.6666667	9390300	26270500	22479566.6666667	32903333.3333333	30109600	29368300	24956333.3333333	26394466.6666667	22954866.6666667	25683566.6666667	27971100	25936200	30526000	23037666.6666667	24777800
"O14455"	21607566.6666667	22935166.6666667	22163733.3333333	5178933.33333333	25418800	6329500	23053233.3333333	28486000	5987300	4212350	4236850	32549500	6482200	24324700	25271300	46705333.3333333	49410000	51959500	24192266.6666667	23388100	31208966.6666667	5262800	33346366.6666667	25918866.6666667	18472466.6666667	16044066.6666667	20106500
"P40069"	9264700	7878100	9584033.33333333	14209300	12130566.6666667	11031066.6666667	8962500	10168000	12056766.6666667	9856266.66666667	7380933.33333333	9848733.33333333	7832433.33333333	10043633.3333333	9728633.33333333	11613333.3333333	10893366.6666667	10903366.6666667	8126133.33333333	11234366.6666667	7536800	10827633.3333333	10653666.6666667	9817933.33333333	7481000	7592200	9442033.33333333
"Q02785"	NA	NA	NA	10359000	NA	NA	NA	8179100	NA	NA	NA	NA	NA	NA	NA	NA	7511500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P32558"	NA	NA	NA	2623500	NA	NA	NA	11226000	NA	1798200	NA	6174500	NA	NA	2195200	NA	NA	3111000	NA	2397000	NA	NA	NA	NA	4201400	2991000	2320200
"P07264"	6587600	6064900	6854750	5822050	6565200	6463750	6770100	8575450	7571250	6781850	5840800	7358000	6538000	6240100	8477700	7486400	8051850	7667300	5329666.66666667	7058750	5922700	9250200	7413050	7220800	6745800	5373250	3852000
"P39105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2950600	NA	NA	NA	3137100	NA	2946100	3468300	2755800
"P07284"	28609000	27574000	27220666.6666667	32820333.3333333	35987333.3333333	31180666.6666667	27802333.3333333	30591666.6666667	27760666.6666667	30898333.3333333	32151333.3333333	30826333.3333333	18924400	27926666.6666667	32239666.6666667	31738000	29257666.6666667	29568000	25588333.3333333	33042000	28271333.3333333	33258000	27679666.6666667	34888666.6666667	31402000	31876666.6666667	33561333.3333333
"Q12122"	10620666.6666667	10039766.6666667	7898466.66666667	12639000	10936200	9770733.33333333	7448766.66666667	12187333.3333333	10943000	10729000	9295700	9493166.66666667	11309033.3333333	10986066.6666667	10598333.3333333	9694266.66666667	10702666.6666667	10038366.6666667	10053033.3333333	8449350	9152633.33333333	11976666.6666667	10990333.3333333	11831333.3333333	8312500	10841566.6666667	11599533.3333333
"P32602"	4700600	3002900	3194300	3623500	4382800	NA	NA	4852700	4853300	4232000	4410800	3495200	3885500	3793800	4263100	4535400	4176200	4195700	4414550	3159600	5234100	3345500	3454600	4493200	3594700	4187700	5583600
"P12385"	NA	NA	3409000	NA	3639900	NA	NA	NA	NA	NA	NA	NA	3444600	4045800	4235400	NA	NA	7089200	NA	NA	NA	3764100	3510200	3623200	5645500	3847400	3697200
"P54839"	46218000	47129000	44871666.6666667	54658000	54973333.3333333	51874333.3333333	42962666.6666667	50839333.3333333	47837333.3333333	43480000	42390000	34003333.3333333	34235666.6666667	48119333.3333333	51366666.6666667	53041000	52122000	54186666.6666667	44679000	41963000	44895333.3333333	47595333.3333333	50744333.3333333	51934666.6666667	46346000	54467000	57251333.3333333
"P38715"	8750433.33333333	9180300	14125300	8803166.66666667	10503600	7756866.66666667	12741200	13993000	12559266.6666667	13383600	10316400	9348866.66666667	12237166.6666667	9298766.66666667	8634933.33333333	14697733.3333333	14613100	14591000	10105000	9867333.33333333	9190966.66666667	8374466.66666667	10965233.3333333	8412600	9024433.33333333	9531566.66666667	9839033.33333333
"P37291"	18280333.3333333	18028333.3333333	16212000	17771666.6666667	18204000	18120666.6666667	15501333.3333333	19921333.3333333	18799333.3333333	18466666.6666667	17321333.3333333	18652333.3333333	17056333.3333333	17098666.6666667	17588000	20349333.3333333	20242333.3333333	18854333.3333333	20128333.3333333	17564333.3333333	16454666.6666667	20279000	20352666.6666667	19806333.3333333	21390333.3333333	20127000	25007000
"P41807"	6293000	6314500	5487600	6757700	6279850	6879600	5342650	7196850	6780150	6967100	6122850	6398300	6965700	5828200	6145800	7679700	NA	NA	5275250	6132650	6578700	5612000	4905866.66666667	7107750	6174200	6405000	7011600
"P40047"	5472300	1963800	5679100	6161600	6358200	NA	3193366.66666667	NA	6788300	NA	NA	2103700	5616000	NA	NA	6001100	6046200	5491500	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P26637"	12323666.6666667	13908333.3333333	12341866.6666667	14442666.6666667	15410666.6666667	16075000	12464333.3333333	14180333.3333333	15848000	12575666.6666667	12794000	13549333.3333333	12206000	16953333.3333333	15178333.3333333	16254333.3333333	15766000	16268666.6666667	14528666.6666667	15228666.6666667	14553666.6666667	11489933.3333333	15240666.6666667	14731000	16587000	16156000	14663666.6666667
"P07275"	5107150	7508900	6101400	8663100	NA	6967500	7472400	10614000	8021200	NA	8923800	8175200	6050700	NA	NA	8892900	9836000	9636000	NA	9644500	7444200	NA	NA	4110600	NA	6114900	4245750
"P32582"	24494333.3333333	42372000	47057333.3333333	40788666.6666667	44957666.6666667	42341333.3333333	40378000	34893666.6666667	51067333.3333333	30824000	33100333.3333333	20800333.3333333	36349333.3333333	40364666.6666667	44246666.6666667	49583666.6666667	49675000	50004666.6666667	24229000	38698333.3333333	22194666.6666667	43969666.6666667	38823333.3333333	17474666.6666667	32335333.3333333	32628666.6666667	14984666.6666667
"Q12335"	29876666.6666667	33081000	29138000	39181000	25399500	14322000	27239000	25083333.3333333	29479000	23534333.3333333	25700333.3333333	16877500	31633666.6666667	15753150	30773000	29203333.3333333	33543000	20950666.6666667	18426333.3333333	13733333.3333333	14190000	29387500	17332500	21010000	20378333.3333333	19116666.6666667	21962000
"P00817"	77629333.3333333	77914000	73319000	86683666.6666667	89541333.3333333	82126666.6666667	71911000	90672333.3333333	79072000	77075000	75138333.3333333	77660000	70042000	77672333.3333333	79084333.3333333	86343666.6666667	78199666.6666667	78521333.3333333	79419333.3333333	77012666.6666667	76791000	82829666.6666667	83308666.6666667	82260666.6666667	88678333.3333333	80781333.3333333	86161666.6666667
"Q08446"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P14540"	379216666.666667	327460000	329006666.666667	252133333.333333	314240000	265573333.333333	314416666.666667	431196666.666667	417416666.666667	216473333.333333	288823333.333333	396906666.666667	177013333.333333	296100000	290236666.666667	478336666.666667	386640000	457280000	288050000	298923333.333333	294996666.666667	152576666.666667	329430000	322180000	503636666.666667	281393333.333333	253393333.333333
"P08566"	4840266.66666667	4400833.33333333	5011966.66666667	6308033.33333333	4442600	4483100	5184166.66666667	6128800	6070150	4315300	5454533.33333333	5198100	4094366.66666667	4075200	6078333.33333333	4598300	5360250	5009250	5032233.33333333	4888466.66666667	4809933.33333333	3563900	5737833.33333333	5073033.33333333	4464233.33333333	4001466.66666667	3511400
"P02829"	41583666.6666667	43390666.6666667	43216333.3333333	47359666.6666667	22016466.6666667	18433700	42900000	53040666.6666667	27667000	41354000	41737333.3333333	19923000	34787800	43794000	40704000	53196333.3333333	21583666.6666667	49778666.6666667	11668766.6666667	42024500	43714333.3333333	39027333.3333333	16392000	9939866.66666667	22798666.6666667	23335666.6666667	45550333.3333333
"P05739"	12576366.6666667	16743000	10220333.3333333	23960333.3333333	12360150	10497566.6666667	18956066.6666667	13668433.3333333	16555133.3333333	20626000	11970633.3333333	12983333.3333333	3208800	21096333.3333333	12817000	13057633.3333333	12194166.6666667	11922500	10681300	12580433.3333333	16266333.3333333	14345000	24396666.6666667	11271000	13638033.3333333	11916950	11722300
"Q05775"	8608100	7348000	8469900	8519300	7418300	8406200	8066900	10960000	9125200	8767400	8715400	NA	7589300	9447700	8408300	9968000	8865400	6672900	8649600	8699200	6212050	9046300	NA	9268700	NA	NA	5247200
"P47176"	41911666.6666667	44373000	45129333.3333333	50673666.6666667	44126666.6666667	42398333.3333333	44363666.6666667	51637333.3333333	52137333.3333333	40833333.3333333	46381666.6666667	21044666.6666667	44372666.6666667	49373666.6666667	45141333.3333333	46967000	45643333.3333333	46070666.6666667	21466000	45690333.3333333	24938666.6666667	46124333.3333333	18488600	29434666.6666667	24084666.6666667	17816700	47687333.3333333
"P32891"	3633900	5154800	NA	4730100	6336700	NA	NA	5252400	4999200	4850200	NA	NA	NA	NA	4138600	6049550	5786100	NA	NA	NA	NA	NA	NA	NA	4261500	4614400	5404600
"P22146"	10267000	8571800	8580700	NA	7284800	NA	6926600	8033700	13497000	10248750	8894100	9939100	7639400	6736400	6204100	7998850	12101000	13643000	4041100	9682900	10454000	10258000	9227800	7390500	12745000	12360000	10960000
"P37898"	6099500	6365050	4955533.33333333	7262633.33333333	6922233.33333333	6656533.33333333	6665450	6510650	7638150	NA	6427033.33333333	6534700	5088600	6340200	6979300	5716633.33333333	7311933.33333333	4990200	NA	7038750	7153750	7415250	6143533.33333333	6852300	15466000	7690800	6635600
"P09436"	19114000	17662666.6666667	12360666.6666667	19997000	19169000	18996666.6666667	16313000	20637666.6666667	18426000	20240000	16892000	18653000	10220966.6666667	18969333.3333333	19822000	19871333.3333333	20999000	19225000	19196666.6666667	18964666.6666667	17790266.6666667	21393333.3333333	20204000	20291000	21722000	21601000	20662000
"P09211ups|GSTP1_HUMAN_UPS"	11850000	14204000	10899000	NA	NA	NA	12878150	12969466.6666667	12495166.6666667	NA	NA	NA	NA	NA	NA	41127000	39817000	30236166.6666667	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A6ZNQ1"	5119700	NA	NA	5801000	NA	6111400	NA	NA	7586400	NA	6003800	6158600	NA	NA	NA	NA	NA	NA	NA	NA	3644500	NA	6709300	NA	4228850	6168000	5350800
"P10869"	8465300	4680100	4922775	4472700	8793400	8505200	8776700	9254000	5202750	7725200	7871800	7689200	NA	4263250	8126700	6196100	NA	5783750	7290100	9261800	7765100	6695800	6503100	NA	2204850	1715700	4230700
"P39676"	74345000	75479000	74260000	84731333.3333333	80683000	62381333.3333333	69961666.6666667	83207666.6666667	74315666.6666667	72286333.3333333	72296000	71448000	63805666.6666667	71530000	73519000	91135000	82354666.6666667	83320000	66378333.3333333	70674000	67974000	75410000	73877333.3333333	83397333.3333333	60587666.6666667	77738000	82116333.3333333
"P04802"	29341000	36844333.3333333	30147666.6666667	40278666.6666667	30310000	30345666.6666667	34085333.3333333	38406666.6666667	35228333.3333333	30441666.6666667	30721333.3333333	29800666.6666667	26449666.6666667	30958333.3333333	30115666.6666667	35670000	33582333.3333333	36148000	27447000	29800000	27016666.6666667	33791000	33875666.6666667	29831666.6666667	26311666.6666667	25622333.3333333	32017666.6666667
"P17891"	9941900	10529000	11138000	11011000	11799000	12166000	10761000	12507000	12679000	11044000	10463000	5773800	10651000	11464000	10020000	12837000	10268000	12168000	9718200	9697400	11199000	13101000	13711000	12639000	12609000	9437500	10483000
"P47160"	2128400	2330000	2044800	2097400	1888600	2634400	1623400	NA	2618900	2312100	1945000	2855700	2084800	1909700	1784800	NA	NA	NA	NA	NA	2480000	3125500	NA	2306500	NA	NA	NA
"P53549"	NA	7182900	5208550	8568300	4044566.66666667	NA	3207400	3794800	3563000	4742800	NA	3065800	NA	3122000	6343000	5575050	3000900	2036500	2478100	2694600	NA	3825400	4124100	NA	NA	12106000	7208250
"Q08745"	35577733.3333333	44035500	33397233.3333333	41818500	77548000	75221000	30935500	36076766.6666667	41679200	43628300	47182250	90117000	54992000	70680000	36633500	55224000	36530166.6666667	41215666.6666667	49368000	86870000	44490000	37143400	75757000	76879000	46855350	41288175	39030650
"P53090"	41124666.6666667	38955000	36789000	38397000	38869666.6666667	29003333.3333333	37131000	21587333.3333333	27846333.3333333	29578666.6666667	18535000	42420000	35503333.3333333	35895000	26954333.3333333	40625000	47515666.6666667	41509666.6666667	36774333.3333333	36479000	33881333.3333333	33973000	27304000	27919000	31349000	32667000	25658666.6666667
"P16474"	43939666.6666667	18144333.3333333	15066333.3333333	15819000	13241466.6666667	46015666.6666667	19678666.6666667	50626000	20426666.6666667	40486666.6666667	18518666.6666667	18836666.6666667	39110333.3333333	42518000	15500666.6666667	19788333.3333333	21887666.6666667	20506000	44578666.6666667	45525000	18708000	43241200	52078000	51504000	25651666.6666667	20971333.3333333	17406000
"P07991"	NA	NA	NA	NA	4057000	4397200	NA	NA	NA	4980700	NA	NA	NA	5380100	4940200	NA	NA	NA	NA	NA	NA	NA	5438900	5006100	7591300	NA	3560500
"P16550"	13748966.6666667	16390050	17684100	17128300	20729666.6666667	33783000	16259950	24983000	7823100	2630100	19696000	NA	21076500	31718000	28568000	NA	NA	NA	15662666.6666667	5861500	7935550	20652500	NA	NA	18710200	16521000	21129500
"P06103"	NA	6239800	5964750	7262466.66666667	5813800	6539900	8413233.33333333	13682550	9189600	5803150	6364250	6902450	6681850	5517766.66666667	6306200	7898500	5714433.33333333	8497600	8226950	8072100	5473300	6554100	7482200	4127950	5260966.66666667	5701300	3404466.66666667
"P35180"	NA	NA	NA	NA	5621900	NA	NA	7796200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6160700	7896000	7798900	NA	NA	NA
"P36008"	45757666.6666667	51337000	50365333.3333333	33205666.6666667	27259333.3333333	33708000	50598666.6666667	56570333.3333333	46434333.3333333	25277666.6666667	27946666.6666667	23364333.3333333	36652000	33829333.3333333	34533000	54554666.6666667	50661666.6666667	35044666.6666667	22382333.3333333	25760000	29548666.6666667	45316333.3333333	31972666.6666667	31040666.6666667	39122666.6666667	39852666.6666667	28853666.6666667
"P40093"	6543466.66666667	5566300	5893133.33333333	5977600	4401250	9328200	3778050	5443000	4992150	4263600	5889900	3810800	5752000	4571550	5543966.66666667	7980000	5334000	6288166.66666667	5540866.66666667	6000050	4067700	6841500	6191866.66666667	4957200	3892100	NA	NA
